State,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
DE,19701,"DELAWARE STATE",0.000000,0.000000,0,0,0,0
DE,19702,"DELAWARE STATE",0.000000,0.000000,0,0,0,0
DE,19703,"DELAWARE STATE",0.000000,0.000000,0,0,0,0
DE,19706,"DELAWARE STATE",0.000000,0.000000,0,0,0,0
DE,19707,"DELAWARE STATE",0.000000,0.000000,0,0,0,0
DE,19708,"DELAWARE STATE",0.000000,0.000000,0,0,0,0
DE,19709,"DELAWARE STATE",0.000000,0.000000,0,0,0,0
DE,19710,"DELAWARE STATE",0.000000,0.000000,0,0,0,0
DE,19711,"DELAWARE STATE",0.000000,0.000000,0,0,0,0
DE,19712,"DELAWARE STATE",0.000000,0.000000,0,0,0,0
DE,19713,"DELAWARE STATE",0.000000,0.000000,0,0,0,0
DE,19714,"DELAWARE STATE",0.000000,0.000000,0,0,0,0
DE,19715,"DELAWARE STATE",0.000000,0.000000,0,0,0,0
DE,19716,"DELAWARE STATE",0.000000,0.000000,0,0,0,0
DE,19717,"DELAWARE STATE",0.000000,0.000000,0,0,0,0
DE,19718,"DELAWARE STATE",0.000000,0.000000,0,0,0,0
DE,19720,"DELAWARE STATE",0.000000,0.000000,0,0,0,0
DE,19721,"DELAWARE STATE",0.000000,0.000000,0,0,0,0
DE,19725,"DELAWARE STATE",0.000000,0.000000,0,0,0,0
DE,19726,"DELAWARE STATE",0.000000,0.000000,0,0,0,0
DE,19730,"DELAWARE STATE",0.000000,0.000000,0,0,0,0
DE,19731,"DELAWARE STATE",0.000000,0.000000,0,0,0,0
DE,19732,"DELAWARE STATE",0.000000,0.000000,0,0,0,0
DE,19733,"DELAWARE STATE",0.000000,0.000000,0,0,0,0
DE,19734,"DELAWARE STATE",0.000000,0.000000,0,0,0,0
DE,19735,"DELAWARE STATE",0.000000,0.000000,0,0,0,0
DE,19736,"DELAWARE STATE",0.000000,0.000000,0,0,0,0
DE,19801,"DELAWARE STATE",0.000000,0.000000,0,0,0,0
DE,19802,"DELAWARE STATE",0.000000,0.000000,0,0,0,0
DE,19803,"DELAWARE STATE",0.000000,0.000000,0,0,0,0
DE,19804,"DELAWARE STATE",0.000000,0.000000,0,0,0,0
DE,19805,"DELAWARE STATE",0.000000,0.000000,0,0,0,0
DE,19806,"DELAWARE STATE",0.000000,0.000000,0,0,0,0
DE,19807,"DELAWARE STATE",0.000000,0.000000,0,0,0,0
DE,19808,"DELAWARE STATE",0.000000,0.000000,0,0,0,0
DE,19809,"DELAWARE STATE",0.000000,0.000000,0,0,0,0
